name;sku;price;quantity;description
Eplerenone;42254-011;230039;59;Bypass Innominate Artery to Bilateral Upper Leg Artery with Synthetic Substitute, Open Approach
Covergirl Queen Collection All Day Flawless 3in1 Foundation;22700-149;365753;38;Resection of Left Lower Arm and Wrist Tendon, Open Approach
Clonidine Hydrochloride;0517-0730;486635;50;Restriction of Splenic Vein with Extraluminal Device, Open Approach
Intelence;59676-572;317288;38;Drainage of Right Foot Muscle, Percutaneous Approach, Diagnostic
Chorionic Gonadotropin;63323-025;404202;97;Division of Left Lower Leg Muscle, Percutaneous Endoscopic Approach
acid controller;59779-194;60023;36;Introduction of Blood Brain Barrier Disruption Substance into Peripheral Artery, Open Approach
Oral-B NeutraCare Mint;0041-0241;174827;26;Low Dose Rate (LDR) Brachytherapy of Diaphragm using Other Isotope
acid reducer;41250-047;604883;69;Division of Head and Neck Tendon, Open Approach
Petroleum;37808-519;878729;35;Ultrasonography of Gallbladder and Bile Ducts
Mirtazapine;0093-7207;369048;32;Supplement Chest Wall with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
LIP BALM;51414-300;734245;14;Extirpation of Matter from Right Parotid Gland, Percutaneous Approach
Sodium Bicarbonate;52584-916;867574;82;Beam Radiation of Stomach using Photons 1 - 10 MeV
potassium chloride;0615-7694;665624;35;Destruction of Left Wrist Joint, Percutaneous Approach
Venlafaxine Hydrochloride;55700-002;865812;64;Supplement Left Lower Arm and Wrist Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Ludent;44946-1009;431067;75;Restriction of Esophageal Vein with Extraluminal Device, Percutaneous Approach
Bacti-Free tm;59854-300;968333;73;Change Drainage Device in Female Perineum, External Approach
Losartan Potassium;52125-428;353642;79;Removal of Monitoring Device from Ureter, Percutaneous Approach
VFEND;0049-3180;88963;38;Excision of Right Finger Phalanx, Percutaneous Endoscopic Approach
AMOREPACIFIC;43419-513;170021;79;Excision of Left Upper Arm Skin, External Approach, Diagnostic
Aqua Rush Serum;59535-7201;53649;19;Bypass Right External Iliac Vein to Lower Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
GUNA-IL 4;17089-382;557438;20;Replacement of Right Abdomen Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Diltiazem Hydrochloride;49349-815;103778;8;Dilation of Right Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Protonix;55154-4226;83512;4;Bypass Coronary Artery, Four or More Arteries from Thoracic Artery, Percutaneous Endoscopic Approach
ULTRA CORRECTION LIFT;68745-1134;375443;90;Extirpation of Matter from Larynx, Via Natural or Artificial Opening
Ibuprofen;41163-392;756112;55;Plain Radiography of Bilateral Submandibular Glands using Other Contrast
IBANDRONATE SODIUM;47781-103;7435;43;Bypass Right Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Open Approach
Extra Strength Pain Reliever PM;70253-556;32951;34;Insertion of Other Device into Left Lower Arm, Percutaneous Endoscopic Approach
Aquavit Etheric Energizer;48951-1066;304559;71;Revision of Drainage Device in Bone Marrow, Percutaneous Endoscopic Approach
Carbidopa and Levodopa;55154-0697;594699;6;Repair Left Axillary Lymphatic, Percutaneous Approach
CVS Phramacy Antibacterial;59779-232;592448;29;Bypass Lower Esophagus to Duodenum with Synthetic Substitute, Open Approach
Neuraceq;54828-001;920670;86;Occlusion of Urethra with Intraluminal Device, Open Approach
Disney PRINCESS Antibacterial Hand Wipes;57469-057;742800;25;Repair Left Hypogastric Vein, Percutaneous Approach
Next Choice;52544-275;912205;73;Extirpation of Matter from Left Hand Artery, Open Approach
Terbutaline Sulfate;68084-257;876860;63;Extirpation of Matter from Coronary Artery, Three Arteries, Percutaneous Approach
SOLIE TONER;51346-087;90791;88;Bypass Thoracic Aorta, Descending to Carotid with Autologous Venous Tissue, Open Approach
EQUATE;49035-177;990183;74;Extirpation of Matter from Left Upper Eyelid, Open Approach
Sunmark calcium antacid;49348-958;589051;69;Repair Olfactory Nerve, Percutaneous Approach
Vimovo;75987-031;36046;10;Drainage of Lung Lingula with Drainage Device, Percutaneous Approach
HYDROCODONE BITARTRATE AND ACETAMINOPHEN;63629-4355;812291;59;Drainage of Small Intestine, Via Natural or Artificial Opening Endoscopic
Colgate Optic White Dual Action Crystal Mint;65954-563;44548;63;Revision of Infusion Device in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
Jantoven;0832-1213;9270;95;Change Brace on Left Lower Arm
Nite-TimeCOLD/FLU CHERRY;57243-502;536989;5;Bypass Ileum to Descending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Burr Oak;36987-2831;832855;15;Revision of Spacer in Left Toe Phalangeal Joint, Open Approach
FLORIA WHITENING EMULSION;59078-008;949333;94;Gastrointestinal System, Excision
BOTANICAL VANILLA PACT;51346-012;851029;97;Introduction of Analgesics, Hypnotics, Sedatives into Muscle, Percutaneous Approach
